date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-10,California,State,Delta,0.0,0.0,1.57142857142,0.310822266177
2021-01-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-10,California,State,Alpha,0.0,0.0,6.71428571428,1.328058773665
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Alpha,8.0,1.42,7.14285714285,1.759324419423
2021-01-11,California,State,Other,279.0,49.56,181.14285714285,44.616467276566
2021-01-11,California,State,Total,563.0,100.0,406.0,100.0
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.035186488388
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-11,California,State,Epsilon,270.0,47.96,215.14285714285,52.990851513019
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.035186488388
2021-01-11,California,State,Delta,2.0,0.36,1.14285714285,0.281491907108
2021-01-11,California,State,Omicron,2.0,0.36,1.14285714285,0.281491907108
2021-01-12,California,State,Total,554.0,100.0,372.71428571428,100.0
2021-01-12,California,State,Epsilon,300.0,54.15,198.71428571428,53.315446531238
2021-01-12,California,State,Delta,1.0,0.18,1.28571428571,0.344959754695
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.038328861633
2021-01-12,California,State,Other,243.0,43.86,165.0,44.269835185895
2021-01-12,California,State,Omicron,0.0,0.0,1.14285714285,0.306630893062
2021-01-12,California,State,Alpha,9.0,1.62,6.14285714285,1.648141050211
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.038328861633
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.038328861633
2021-01-13,California,State,Alpha,9.0,1.72,7.0,1.767676767677
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Total,524.0,100.0,396.0,100.0
2021-01-13,California,State,Other,215.0,41.03,173.71428571428,43.867243867244
2021-01-13,California,State,Epsilon,297.0,56.68,212.71428571428,53.715728715729
2021-01-13,California,State,Omicron,2.0,0.38,1.14285714285,0.2886002886
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.036075036075
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.036075036075
2021-01-13,California,State,Delta,1.0,0.19,1.0,0.252525252525
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.036075036075
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031847133758
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.222929936306
2021-01-14,California,State,Alpha,14.0,2.1,6.85714285714,1.528662420382
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Omicron,0.0,0.0,0.85714285714,0.191082802548
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031847133758
2021-01-14,California,State,Other,237.0,35.59,189.28571428571,42.197452229299
2021-01-14,California,State,Epsilon,415.0,62.31,250.14285714285,55.764331210191
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031847133758
2021-01-14,California,State,Total,666.0,100.0,448.57142857142,100.0
2021-01-15,California,State,Delta,2.0,0.35,1.0,0.196463654224
2021-01-15,California,State,Epsilon,318.0,55.89,284.42857142857,55.87987650856
2021-01-15,California,State,Alpha,8.0,1.41,7.71428571428,1.515576761156
2021-01-15,California,State,Other,241.0,42.36,214.57142857142,42.1554869492
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.028066236318
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.028066236318
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.028066236318
2021-01-15,California,State,Total,569.0,100.0,509.0,100.0
2021-01-15,California,State,Omicron,0.0,0.0,0.85714285714,0.168397417906
2021-01-16,California,State,Alpha,17.0,2.33,9.28571428571,1.725969198088
2021-01-16,California,State,Omicron,0.0,0.0,0.71428571428,0.132766861391
2021-01-16,California,State,Other,330.0,45.14,230.57142857142,42.857142857143
